dt_implant;cd_item;ds_nacional;Agrupamento_Item;ds_item;ds_voltagem;Família_(grupos);classificacao_fiscal;cd_ean;DUN-14;Múltiplo_Pedido;peso_bruto;aliquota_ipi;tipo_exclusividade;Origem;BU;Familia_Comercial
2022-02-21;FW008798;WAP SOPRADOR TERMICO EST2000;WAP SOPRADOR TERMICO EST2000;WAP SOPRADOR TERMICO EST2000 127V;127V;Ferramentas;84672999;7899831310289;;1;0.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - pintura/soprador
2025-02-05;FW011409;WAP SOPRADOR DE FOLHAS WG SF02E;WAP SOPRADOR DE FOLHAS WG SF02E;WAP SOPRADOR DE FOLHAS WG SF02E 220V;;Jardinagem;84672999;7899831342631;;1;2.47;0;CATALOGO ABERTO;Estrangeira;DIY;jardinagem elétrica
2025-02-05;FW011408;WAP SOPRADOR DE FOLHAS WG SF02E;WAP SOPRADOR DE FOLHAS WG SF02E;WAP SOPRADOR DE FOLHAS WG SF02E 127V;;Jardinagem;84672999;7899831342624;;1;2.47;0;CATALOGO ABERTO;Estrangeira;DIY;jardinagem elétrica
2017-06-22;FW005735;WAP GTW 55;WAP GTW 55;WAP SOPRADOR / ASPIRADOR GTW 55 3X1 220V 50/60 HZ;220V;Aspiradores;84145990;7898152181370;;1;8;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - barril
2017-06-22;FW005734;WAP GTW 55;WAP GTW 55;WAP SOPRADOR / ASPIRADOR GTW 55 3X1 127V 50/60 HZ;127V;Aspiradores;84145990;7898152181363;;1;8;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - barril
2022-07-21;FW009109;WAP SILENT SPEED MAX;WAP SILENT SPEED MAX;WAP SILENT SPEED MAX 220V;220V;Aspiradores;85081100;7899831311408;;1;2.5;6.5;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - vertical
2022-07-21;FW009108;WAP SILENT SPEED MAX;WAP SILENT SPEED MAX;WAP SILENT SPEED MAX 127V;127V;Aspiradores;85081100;7899831311392;;1;2.5;6.5;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - vertical
2024-07-18;FW010690;WAP SERRA TICO TICO STT02;WAP SERRA TICO TICO STT02;WAP SERRA TICO TICO WF STT02 220V;;Ferramentas;84672200;7899831338030;;1;0;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2024-07-18;FW010689;WAP SERRA TICO TICO WF STT02;WAP SERRA TICO TICO WF STT02;WAP SERRA TICO TICO WF STT02 127V;;Ferramentas;84672200;7899831338023;;1;0;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2024-07-18;FW010686;WAP SERRA TICO TICO WF STT01;WAP SERRA TICO TICO WF STT01;WAP SERRA TICO TICO WF STT01 220V;;Ferramentas;84672200;7899831338016;;1;0;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
